t,stimulus,Vr,Vh,Ve,G,K,Vk,reakcja,Vp,swiadomosc,myslenie,decyzja
23.0,2.0,1.9881918324802514,-0.06609483365995183,0.1951177830132832,0.10000243788018509,0.24389722876660397,2.438912829893428,0.0,2.0,0.5039148042986599,-0.059368774121553655,0.0
23.1,2.0,2.0815555414622513,-0.06679659442455367,0.19035215292036817,0.10000246655409432,0.2379401911504602,2.379343223716899,0.0,2.0,0.4917739767464985,-0.06095813356611146,0.0
23.200000000000003,2.0,1.922771677838578,-0.06754961063889323,0.2006032428679102,0.10000240558401607,0.2507540535848877,2.5074802163055874,0.0,2.0,0.5184464458555588,-0.0626519674346898,0.0
23.3,2.0,2.0294352764521246,-0.06828726931615145,0.19753173545164446,0.10000253677902297,0.24691466931455555,2.469084057939114,0.0,2.0,0.5106904671507027,-0.06433808028684895,0.0
23.400000000000002,2.0,1.91125576133382,-0.06898592425461832,0.18973098769337338,0.10000249744867264,0.23716373461671672,2.3715781172209582,0.0,2.0,0.49068842866564466,-0.06597417623007007,0.0
23.5,2.0,2.0762522927111626,-0.06969339842144161,0.1914948333646579,0.10000239763906102,0.23936854170582234,2.3936280264976846,0.0,2.0,0.49541949055830803,-0.0676424169447364,0.0
23.6,2.0,1.8929992851557518,-0.07040955909333924,0.19323213437952583,0.10000242020130176,0.24154016797440728,2.415343223575934,0.0,2.0,0.5000870726792237,-0.06934309061777731,0.0
23.700000000000003,2.0,1.9577162193441533,-0.07112755787501225,0.1935997563346025,0.10000244242597492,0.2419996954182531,2.4199378489919305,0.0,2.0,0.5012122381781033,-0.07106437535193702,0.0
23.8,2.0,1.9515401926375533,-0.07185123127102376,0.19473467920230095,0.10000244712902437,0.24341834900287618,2.4341239238757315,0.0,2.0,0.5043266060955688,-0.07281336616091866,0.0
23.900000000000002,2.0,1.9153562421450219,-0.07258588254555585,0.1969302549064177,0.10000246165124281,0.24616281863302208,2.4615675911210215,0.0,2.0,0.5101935827064237,-0.0746001607049566,0.0
24.0,2.0,1.9598657624495455,-0.07308890265525109,0.15060402193904562,0.10000248975111706,0.188255027423807,1.8825034045885256,0.0,2.0,0.3902694082213543,-0.07597609604233063,0.0
24.1,2.0,2.038682424705344,-0.07362624343120037,0.15746815518985835,0.1000018984917414,0.1968351939873229,1.9683145715836428,0.0,2.0,0.408162623882984,-0.07742531963316444,0.0
